Node	Occurrences	Present in network(s)	Cited in paper(s)
H5N5F1S2	31	[1949;P27930, 1976;Q9H2E6, 1794;P22105, 1546;O15394, 1941;P04406, 1707;Q12913, 1177;P27487, 1939;Q6ZMI3, 1641;Q12884, 797;Q9HDC9, 592;P40225, 1937;P52799, 718;P02763, 1479;Q14108, 1781;Q4LDE5, 686;Q96FE7, 1924;P23280, 1932;P24387, 1486;Q13296, 2978;Q02223, 744;P00738, 1131;Q99715, 86;P00749, 1708;P10586, 1585;Q6UX06, 1765;Q99523, 706;P09486, 1624;Q9UHG3, 1979;P37173, 344;P98158, 86;P00750]	[10.1006/abio.1995.1200, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-018-20331-2, 10.1093/glycob/cwh031, 10.1111/j.1432-1033.1997.00334.x, 10.1074/mcp.RA120.002295, 10.1016/0304-4165(94)00191-y, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1016/j.isci.2021.102323, 10.1002/pmic.201300270, 10.1074/mcp.M114.039537, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1101/853036, 10.1074/mcp.O114.046748, 10.1021/bi035278t, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1073/pnas.1320544111, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M504528200, 10.1021/pr400714w, 10.1016/s0021-9258(18)43451-5, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.4049/jimmunol.173.11.6831, 10.1038/s41598-021-84668-x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1006/abio.1995.1201, 10.1021/pr500394z]
H5N5F1S3	8	[50;P26324, 2010;Q9NU22, 759;P10909, 613;P07911, 550;P01833, 1120;P12259, 1242;Q06828, 1902;Q14508]	[10.1002/pmic.201300270]
H4N5F3	1	[625;P04004]	[10.1021/pr500414q, 10.1002/prca.201800061, 10.1046/j.1432-1327.1999.00105.x, 10.1021/acs.analchem.8b01137]
H3N5S1	5	[177;P09466, 759;P10909, 350;P01229, 194;P01215, 2932;P47710]	[10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1016/j.jprot.2021.104148]
H4N4F1	22	[2287;P08113, 1587;Q9NRN5, 2547;A0A087WPX3, 1839;P43307, 2565;O88998, 1846;Q9BVK6, 1228;Q16610, 744;P00738, 2736;P07214, 2935;Q6WN34, 1414;P05556, 2460;Q61292, 600;P01266, 1137;P12110, 1117;Q96KA5, 797;Q9HDC9, 1713;Q96D15, 2508;Q9QYS2, 45;P17050, 2552;Q62443, 1062;O43852, 1075;O75339]	[10.1016/j.jchromb.2008.05.006, 10.1016/s0021-9258(19)50338-6, 10.1006/abbi.1994.1055, 10.1021/bi00222a012, 10.1111/j.1432-1033.1993.tb18200.x, 10.1074/mcp.RA120.002295, 10.1093/oxfordjournals.jbchem.a123807, 10.1021/acs.analchem.8b01051, 10.1093/glycob/10.4.421, 10.1023/a:1006915200989, 10.1016/0161-5890(93)90145-2, 10.1074/jbc.M009361200, 10.1006/abio.2001.5199, 10.1016/0003-9861(91)90144-8, 10.1021/pr500414q, 10.1074/jbc.275.11.7731, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.5b00756, 10.1111/j.1432-1033.1992.tb16733.x, 10.1093/glycob/9.5.443, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1046/j.1432-1327.2001.01985.x, 10.1093/glycob/10.3.295, 10.1111/j.1432-1033.1995.0805m.x, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1046/j.1432-1033.2002.03111.x, 10.1093/glycob/5.3.281, 10.1016/s0021-9258(19)39438-4, 10.1016/s0378-4347(99)00330-8, 10.1074/jbc.M504528200, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1021/ac900231w, 10.1016/0161-5890(90)90103-7, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1023/a:1022528829799, 10.1006/bbrc.1993.1516, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1021/bi00378a023, 10.1016/j.carres.2014.01.018, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/ac4009995, 10.1111/j.1432-1033.1992.tb17090.x, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1007/s10719-006-6693-4, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/10.12.1347, 10.1074/jbc.M004298200, 10.1093/glycob/7.1.67, 10.1093/glycob/cwh031, 10.1046/j.1432-1327.1999.00095.x, 10.1042/bj2680529, 10.1016/s0021-9258(18)52290-0, 10.1042/bj2780505, 10.1371/journal.pgen.1003225, 10.1016/s0021-9258(17)30489-1, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1093/glycob/3.3.225, 10.1074/mcp.M114.039537, 10.1111/j.1432-1033.1990.tb19256.x, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1371/journal.ppat.1009232, 10.1101/853036, 10.1074/jbc.272.14.9062, 10.1016/j.ygcen.2004.01.015, 10.1002/prca.201800061, 10.1021/pr4012393, 10.1021/acs.analchem.8b01137, 10.1681/ASN.2006040388, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1093/glycob/10.5.511, 10.1002/j.1460-2075.1985.tb03991.x, 10.1016/s0021-9258(19)39283-x, 10.4049/jimmunol.173.11.6831]
H9N8F1	2	[685;P41222, 613;P07911]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/9.5.443, 10.1016/s0021-9258(18)90588-0, 10.1016/0003-9861(82)90550-1, 10.1021/acs.analchem.8b01137, 10.1021/bi00210a019, 10.1016/s0021-9258(18)68975-6, 10.1021/bi00222a012, 10.1007/bf01053197, 10.1046/j.1432-1327.2001.01960.x, 10.1021/bi9524880, 10.1002/elps.1150191113, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/bi00415a038, 10.1016/0003-9861(90)90511-v]
H4N4F3	22	[1442;P07942, 658;P50454, 744;P00738, 1079;P07339, 679;O75882, 1172;Q14126, 795;Q6YHK3, 651;P0C0L4, 1086;P25063, 1476;P11117, 1193;Q9Y5L3, 1038;P06865, 600;P01266, 1146;P0C0L5, 1712;Q15293, 1483;P34810, 1552;O94856, 550;P01833, 1603;Q6P4A8, 1847;Q14956, 320;P02788, 1408;P23229]	[10.1111/j.1432-1033.1991.tb16302.x, 10.1021/acs.analchem.8b01137]
H4N4F2	7	[653;P98160, 1406;P17301, 1169;P07585, 1235;P35555, 159;P02675, 1271;P04062, 1175;P53634]	[10.1038/s41467-019-09222-w, 10.1093/glycob/9.8.823, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/cwaa101, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1042/bj2780505, 10.1126/science.abb9983, 10.1111/j.1432-1033.1991.tb16302.x, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/pr500414q]
H5N5F1S1G1	4	[668;Q13201, 810;P01042, 686;Q96FE7, 1902;Q14508]	[10.18632/oncotarget.26005]
H5N4F3S1	1	[613;P07911]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.M112.024018, 10.1093/glycob/10.9.901, 10.18632/oncotarget.26005, 10.1093/glycob/11.3.195, 10.1021/acs.jproteome.8b00796, 10.1038/s41598-018-20331-2]
H5N4F3S2	1	[320;P02788]	[10.1021/acs.jproteome.9b00753, 10.18632/oncotarget.26005, 10.1093/glycob/11.3.195, 10.1038/s41598-021-84668-x, 10.1038/s41598-018-20331-2]
H1N2	1	[2232;Q99P47]	[10.1038/s41467-019-09222-w, 10.1006/gcen.1993.1083, 10.1007/bf00731872, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.M112.024018, 10.1021/bi00464a020, 10.1016/s0008-6215(00)80777-6, 10.1093/glycob/cwaa052, 10.1093/glycob/10.6.551, 10.1111/j.1432-1033.1990.tb19220.x]
H4N4F1P1	1	[317;Q38757]	[10.1093/glycob/11.4.261, 10.1111/j.1432-1033.1987.tb13626.x, 10.1016/s0304-4165(00)00128-8, 10.1093/jb/117.2.289, 10.1111/j.1432-1033.1994.tb18628.x]
H3N6F2	3	[355;P11279, 280;P01871, 230;P01876]	[10.1126/science.abb9983, 10.1084/jem.20142182, 10.1093/glycob/3.6.597, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/bi035278t, 10.1016/0014-5793(92)81512-k, 10.1006/abio.2001.5199, 10.1046/j.1432-1327.1999.00105.x, 10.1111/j.1432-1033.1995.0805m.x, 10.1021/acs.analchem.8b01137]
H5N3G1	1	[685;P41222]	[10.18632/oncotarget.26005]
H3N6F1	15	[685;P41222, 367;P01033, 1442;P07942, 1587;Q9NRN5, 1839;P43307, 1129;P12109, 2421;Q8BLQ9-2, 1256;Q08380, 558;P02787, 1235;P35555, 1085;Q13740, 1271;P04062, 550;P01833, 1066;O75976, 1854;Q8NBN3]	[10.1046/j.1432-1327.1999.00766.x, 10.1016/0167-4889(90)90235-6, 10.1042/bj3160427, 10.1093/glycob/10.9.941, 10.1093/oxfordjournals.jbchem.a124273, 10.1074/mcp.RA120.002295, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1111/j.1432-1033.1996.0448h.x, 10.1016/S0021-9258(18)54122-3, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1021/acs.analchem.1c00893, 10.2307/3283717, 10.1006/bbrc.1995.1716, 10.1006/abio.2001.5199, 10.1093/glycob/cwaa042, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1093/glycob/9.5.443, 10.1021/bi035278t, 10.1111/j.1432-1033.1995.0805m.x, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1046/j.1432-1033.2002.03111.x, 10.1093/glycob/1.2.173, 10.1126/science.abb9983, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/bi00067a029, 10.1046/j.1432-1327.1999.00105.x]
H3N4F2S1	2	[1839;P43307, 1486;Q13296]	[10.1021/pr500238v]
H9N6S1	1	[483;R7VTP9]	[10.1074/jbc.M101380200]
H9N2	1	[79;P13987]	[10.1007/bf00731872, 10.1016/s0021-9258(19)50338-6, 10.1007/bf00731134, 10.1093/glycob/11.10.791, 10.1093/glycob/10.8.837, 10.1111/j.1432-1033.1991.tb15995.x, 10.1007/bf00731292, 10.1016/0003-9861(82)90550-1, 10.1007/bf00731153, 10.1016/S0021-9258(19)50314-3, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/jbc.M100573200, 10.1023/a:1006999718552, 10.1021/acs.analchem.8b01051, 10.1515/bchm3.1995.376.9.531, 10.1074/jbc.275.11.7731, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1093/protein/14.3.201, 10.1021/acs.jproteome.5b00756, 10.3390/pharmaceutics13111747, 10.1042/bj2270795, 10.1093/oxfordjournals.jbchem.a022707, 10.1074/jbc.M606711200, 10.1093/glycob/10.3.295, 10.1093/glycob/5.2.227, 10.1016/0166-6851(88)90011-4, 10.1016/j.jprot.2014.02.005, 10.1021/bi00241a008, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1104/pp.119.2.725, 10.1093/glycob/11.4.261, 10.1016/j.jprot.2014.03.040, 10.1042/0264-6021:3570167, 10.18632/oncotarget.26005, 10.1093/glycob/2.1.57, 10.1016/0008-6215(94)84234-5, 10.1038/s41598-021-84668-x, 10.1093/glycob/cwg023, 10.1021/bi00067a029, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1074/jbc.M307132200, 10.1042/BJ20030485, 10.1093/glycob/10.12.1347, 10.1021/bi00092a019, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1006/bbrc.1993.2412, 10.1016/0008-6215(94)84015-6, 10.1016/s0021-9258(19)76439-4, 10.1016/s0021-9258(18)90588-0, 10.1074/jbc.272.14.9062, 10.1074/mcp.O114.046748, 10.1093/glycob/8.7.663, 10.1016/s0021-9258(18)52295-x, 10.1002/j.1460-2075.1985.tb03991.x, 10.1021/bi00491a005, 10.4049/jimmunol.173.11.6831, 10.1016/s0021-9258(18)54426-4, 10.1021/bi00405a022, 10.1016/S0008-6215(00)90350-1, 10.1271/bbb.59.507, 10.1093/glycob/cwaa052, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/10.9.941, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1271/bbb.80598, 10.1021/ac015618l, 10.1093/glycob/11.3.195, 10.1074/jbc.M009361200, 10.1006/prep.2001.1501, 10.1006/abio.1993.1085, 10.1016/s0021-9258(17)34824-x, 10.1046/j.1432-1327.1999.00598.x, 10.1021/bi00475a024, 10.1021/bi00210a019, 10.1021/bi00462a006, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1007/s13361-013-0823-6, 10.1021/ac900231w, 10.1074/jbc.M511023200, 10.1111/j.1432-1033.1987.tb13469.x, 10.1093/oxfordjournals.jbchem.a123767, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1271/bbb.56.215, 10.1093/glycob/6.6.611, 10.1093/glycob/cwh031, 10.1007/bf00702201, 10.1093/oxfordjournals.jbchem.a003169, 10.1111/j.1432-1033.1990.tb15350.x, 10.1111/j.1432-1033.1990.tb19122.x, 10.1021/bi00217a006, 10.1093/glycob/9.9.915, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1985.tb09161.x, 10.1006/abbi.1993.1595, 10.1016/0042-6822(90)90095-9, 10.1093/glycob/3.5.465, 10.1016/s0021-9258(18)43329-7, 10.1101/853036, 10.1016/0005-2736(81)90096-1, 10.1073/pnas.1309417110, 10.1271/bbb.60.1123, 10.1021/acs.analchem.8b01137, 10.1023/a:1019617728660, 10.1007/s00425-003-1099-z, 10.1126/science.abb9983, 10.1016/s0166-6851(00)00310-8, 10.1021/bi002313c, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1093/glycob/cwh105]
H6N5F2S1	16	[1935;Q96AP7, 683;P55058, 702;Q13790, 795;Q6YHK3, 627;P04275, 495;P04180, 1923;Q9HBB8, 1971;P28827, 649;P40189, 637;Q76LX8, 1503;Q13421, 1709;Q15262, 714;P03952, 1120;P12259, 1309;Q04756, 1854;Q8NBN3]	[10.1021/acs.jproteome.9b00753, 10.1074/mcp.M112.024018, 10.1371/journal.ppat.1009232, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137, 10.1093/oxfordjournals.jbchem.a133671, 10.1126/science.abb9983, 10.1074/mcp.RA119.001607, 10.1042/ba19990105, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/pr500394z, 10.1021/acs.jproteome.8b00796]
H5N4F2P1	2	[580;P18632, 317;Q38757]	[10.1016/s0014-5793(97)01121-6, 10.1093/glycob/11.4.261, 10.1016/s0304-4165(00)00128-8]
H7N3F1	4	[803;P54802, 1547;P32004, 1412;P06756, 1456;Q08722]	[10.1093/glycob/10.3.251, 10.1074/jbc.M606711200, 10.1021/bi00067a029, 10.1002/prca.201800061]
H9N7	6	[14;P19652, 286;P32942, 140;P01588, 759;P10909, 339;P08575, 655;Q13308]	[10.1074/mcp.M112.024018, 10.1074/jbc.M101380200, 10.1016/0003-9861(82)90550-1]
H6N5F2S2	16	[1781;Q4LDE5, 683;P55058, 1601;P80108, 1794;P22105, 1961;Q8IVL1, 1228;Q16610, 1967;P09619, 1708;P10586, 1235;P35555, 1605;Q96BZ4, 1944;Q8TDY8, 1870;Q12866, 1261;P19440, 1641;Q12884, 1084;P11717, 1979;P37173]	[10.1042/ba19990105, 10.1038/s41598-018-20331-2]
H6N5F2S3	4	[280;P01871, 1983;P30530, 99;P00451, 1978;Q08ET2]	[10.1016/j.jchromb.2008.05.006, 10.1007/s00216-014-8226-5, 10.1371/journal.ppat.1009232, 10.1016/j.isci.2021.102323, 10.1021/ac402338u, 10.1021/pr500394z, 10.1038/s41598-018-20331-2]
H4N4F1S1	23	[1861;Q15661, 1839;P43307, 1486;Q13296, 1175;P53634, 1863;Q9UJT0, 1070;P13688, 1642;O43490, 1415;P05107, 1172;Q14126, 1193;Q9Y5L3, 1520;Q9HC84, 810;P01042, 1766;Q92673, 1590;Q99571, 722;P08603, 986;Q13510, 2990;P08637, 1271;P04062, 1842;Q9HD45, 639;P05121, 1479;Q14108, 1366;P04440, 1391;O14498]	[10.1006/abio.1995.1200, 10.1016/j.jchromb.2008.05.006, 10.1021/ac4009995, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1016/s0021-9258(20)64312-5, 10.1046/j.1432-1327.1999.00766.x, 10.1038/s41598-018-20331-2, 10.1093/glycob/7.1.67, 10.1074/jbc.M004298200, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1371/journal.pgen.1003225, 10.1023/a:1006915200989, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1002/pmic.201300270, 10.1021/acs.analchem.0c01794, 10.1074/mcp.M114.039537, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/cwaa101, 10.1046/j.1432-1327.2001.02321.x, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1006/abio.1994.1138, 10.1016/j.jprot.2014.02.005, 10.1021/acs.analchem.8b01137, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1074/jbc.M504528200, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1016/j.euprot.2014.11.002, 10.1002/elps.11501401205, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1111/j.1432-1033.1992.tb16863.x, 10.1038/s41598-021-84668-x, 10.1006/abio.1995.1201, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018]
H4N4S2	15	[161;P02751, 1972;P78509, 1645;P07602, 1895;P54289, 692;P25311, 1175;P53634, 1412;P06756, 651;P0C0L4, 1710;P04626, 1146;P0C0L5, 2838;P0DTC2, 1792;P24821, 1042;P21810, 1280;Q92896, 1604;Q8IV08]	[10.1074/mcp.M112.024018, 10.1021/pr500238v]
H4N4S1	15	[1406;P17301, 1785;Q7Z7G0, 1425;Q9NPH3, 1156;Q8IWV2, 137;P00533, 995;Q8IUX7, 815;P15144, 1470;P51884, 759;P10909, 1971;P28827, 350;P01229, 194;P01215, 1630;Q9H3G5, 1724;O95171, 1062;O43852]	[10.1006/abio.1995.1200, 10.1016/j.jchromb.2008.05.006, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1074/mcp.M114.047381, 10.1093/glycob/11.10.791, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01051, 10.1016/j.jprot.2021.104148, 10.1271/bbb.80598, 10.1021/pr500414q, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1093/glycob/cwaa101, 10.1093/oxfordjournals.jbchem.a124102, 10.1021/pr500238v, 10.1101/853036, 10.1074/jbc.M606711200, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1074/jbc.270.41.24116, 10.1038/s41592-021-01309-x, 10.1002/elps.11501401205, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/ac402338u, 10.1038/s41598-021-84668-x, 10.1021/pr500394z]
H8N7S3	2	[2986;P08637, 2990;P08637]	[10.1016/j.isci.2021.102323]
H8N9F1	2	[685;P41222, 613;P07911]	[10.1093/glycob/10.5.511]
H5N3F1	27	[2596;Q9QZC2, 2281;P21995, 2545;P55066, 2736;P07214, 2935;Q6WN34, 2273;O55026, 1414;P05556, 653;P98160, 1281;Q8NBJ4, 625;P04004, 797;Q9HDC9, 2477;Q8C129, 796;P15586, 2987;P08637, 2586;Q5SUR0, 1839;P43307, 671;P01857, 1079;P07339, 647;P01877, 1171;Q02487, 2967;P01877, 2190;P18242, 1235;P35555, 1712;Q15293, 1842;Q9HD45, 45;P17050, 1847;Q14956]	[10.1093/glycob/4.5.633, 10.1046/j.1432-1327.1999.00766.x, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1074/jbc.M004298200, 10.1093/glycob/7.1.67, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1021/pr500414q, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.3390/pharmaceutics13111747, 10.1021/pr500238v, 10.1101/853036, 10.1074/jbc.M606711200, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x]
H5N3F2	7	[653;P98160, 1406;P17301, 1137;P12110, 1427;Q9Y624, 1849;Q9NUM4, 744;P00738, 1175;P53634]	[10.1021/ac4006556, 10.1074/mcp.RA120.002295, 10.1371/journal.ppat.1009232, 10.1093/glycob/cwaa052, 10.1021/acs.analchem.8b01137]
H5N3F3	18	[1442;P07942, 710;O60637, 658;P50454, 1645;P07602, 1151;P08174, 1132;Q05707, 679;O75882, 1579;Q8TEM1, 795;Q6YHK3, 1476;P11117, 1368;P01903, 1478;P42785, 600;P01266, 1235;P35555, 1483;P34810, 1552;O94856, 1847;Q14956, 1408;P23229]	[10.1021/acs.analchem.8b01137]
H7N4F1S1	3	[355;P11279, 676;P02750, 1242;Q06828]	[10.1074/mcp.RA119.001607, 10.1021/ac4006556, 10.1016/j.jaci.2014.02.025]
H4N6F2	3	[685;P41222, 355;P11279, 1592;P50897]	[10.1038/s41467-019-09222-w, 10.1126/science.abb9983, 10.1021/acs.jproteome.9b00753, 10.1042/bj2780505, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.1021/acs.analchem.1c00893, 10.1002/prca.201800061, 10.1021/acs.analchem.8b01137]
H3N6S1	5	[1587;Q9NRN5, 1839;P43307, 1271;P04062, 1175;P53634, 1854;Q8NBN3]	[10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1074/jbc.270.41.24116, 10.1016/j.jprot.2021.104148]
H9N7F1	10	[356;P13473, 1193;Q9Y5L3, 79;P13987, 355;P11279, 1470;P51884, 1085;Q13740, 692;P25311, 1172;Q14126, 602;P10646, 320;P02788]	[10.1074/mcp.M112.024018, 10.1016/0003-9861(82)90550-1]
H4N5F2	10	[790;P07288, 613;P07911, 666;P07288, 1712;Q15293, 744;P00738, 550;P01833, 1280;Q92896, 230;P01876, 1242;Q06828, 320;P02788]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.3390/pharmaceutics13111747, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1042/bj2780505, 10.1126/science.abb9983, 10.1021/bi00447a017, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1093/glycob/3.3.225, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1021/pr500414q, 10.1046/j.1432-1327.1999.00105.x]
H4N5F1	14	[1495;Q9NR99, 1512;P55083, 1129;P12109, 99;P00451, 1175;P53634, 2421;Q8BLQ9-2, 1172;Q14126, 1851;Q9UHN6, 558;P02787, 1805;P35442, 1235;P35555, 550;P01833, 1637;P51888, 358;P04273]	[10.1016/j.jchromb.2008.05.006, 10.1016/s0021-9258(19)50338-6, 10.1016/0003-2697(87)90253-3, 10.1046/j.1432-1327.1999.00766.x, 10.1007/bf00318054, 10.1007/bf00731292, 10.1021/bi00222a012, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1006/abio.2001.5199, 10.1021/pr500414q, 10.1074/jbc.275.11.7731, 10.1016/0003-9861(90)90511-v, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1046/j.1432-1033.2002.03111.x, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M504528200, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1023/a:1022528829799, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1021/ac4009995, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1016/j.jaci.2014.02.025, 10.1042/bj3160427, 10.1074/jbc.M004298200, 10.1093/oxfordjournals.jbchem.a124273, 10.1093/glycob/cwh031, 10.1042/bj2680529, 10.1016/s0021-9258(18)52290-0, 10.1007/bf00702201, 10.1042/ba19990105, 10.1016/S0021-9258(18)54122-3, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1093/glycob/9.9.915, 10.1093/glycob/3.3.225, 10.1074/mcp.M114.039537, 10.1021/acs.jproteome.8b00796, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/10.3.251, 10.1371/journal.ppat.1009232, 10.1101/853036, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1093/glycob/10.5.511, 10.1016/s0021-9258(19)39283-x, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1046/j.1432-1327.1999.00105.x]
H5N4F2S2	4	[1442;P07942, 1139;P12111, 613;P07911, 1932;P24387]	[10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.1002/jms.1190300415, 10.1038/s41598-018-20331-2, 10.1111/jth.14861]
